Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P12002_189_R2	P12002_189_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52120534.0	0.0	151.0	35.0	79.63136802760317	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
P12002_190_R2	P12002_190_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39423580.0	0.0	151.0	35.0	77.65272948179123	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
P12002_191_R2	P12002_191_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49531443.0	0.0	151.0	35.0	80.2589794882551	151.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	warn	pass
P12002_192_R2	P12002_192_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48940274.0	0.0	151.0	35.0	79.55160208358002	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_193_R2	P12002_193_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47568884.0	0.0	151.0	35.0	78.92853700714409	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_194_R2	P12002_194_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42629880.0	0.0	151.0	35.0	78.11249571746475	151.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	fail	pass
P12002_195_R2	P12002_195_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40427735.0	0.0	151.0	35.0	80.89511129827517	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_196_R2	P12002_196_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45988057.0	0.0	151.0	35.0	79.92946736933351	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_201_R2	P12002_201_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40427506.0	0.0	151.0	35.0	78.48660393456694	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
P12002_202_R2	P12002_202_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46650539.0	0.0	151.0	35.0	75.9942244245963	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
P12002_203_R2	P12002_203_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47733705.0	0.0	151.0	35.0	79.81345833161069	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
P12002_204_R2	P12002_204_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43247433.0	0.0	151.0	35.0	77.61213743092233	151.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	warn	pass
